source;gene
schiebinger_et_al;Nasp
schiebinger_et_al;Gmnn
schiebinger_et_al;Cdc6
schiebinger_et_al;Pold3
schiebinger_et_al;Ckap2l
schiebinger_et_al;Fam64a
schiebinger_et_al;Ubr7
schiebinger_et_al;Fen1
schiebinger_et_al;Bub1
schiebinger_et_al;Brip1
schiebinger_et_al;Atad2
schiebinger_et_al;Psrc1
schiebinger_et_al;Rrm2
schiebinger_et_al;Tipin
schiebinger_et_al;Casp8ap2
schiebinger_et_al;Tubb4b
schiebinger_et_al;Kif23
schiebinger_et_al;Exo1
schiebinger_et_al;Rfc2
schiebinger_et_al;Pola1
schiebinger_et_al;Mki67
schiebinger_et_al;Tpx2
schiebinger_et_al;Aurka
schiebinger_et_al;Anln
schiebinger_et_al;Chaf1b
schiebinger_et_al;Hjurp
schiebinger_et_al;Tacc3
schiebinger_et_al;Mcm5
schiebinger_et_al;Anp32e
schiebinger_et_al;Dlgap5
schiebinger_et_al;Ect2
schiebinger_et_al;Nuf2
schiebinger_et_al;Cdc45
schiebinger_et_al;Ckap5
schiebinger_et_al;Ctcf
schiebinger_et_al;Clspn
schiebinger_et_al;Cdca7
schiebinger_et_al;Cdca3
schiebinger_et_al;Rpa2
schiebinger_et_al;Gins2
schiebinger_et_al;E2f8
schiebinger_et_al;Cdc25c
schiebinger_et_al;Nek2
schiebinger_et_al;Cdc20
schiebinger_et_al;Rad51ap1
giladi_et_al;Whsc1
giladi_et_al;Ube2c
giladi_et_al;Ubb
giladi_et_al;Tubb5
giladi_et_al;Tuba1c
giladi_et_al;Tuba1b
giladi_et_al;Tpx2
giladi_et_al;Top2a
giladi_et_al;Tmpo
giladi_et_al;Tk1
giladi_et_al;Tcf19
giladi_et_al;Tacc3
giladi_et_al;Strbp
giladi_et_al;Stmn1
giladi_et_al;Spc25
giladi_et_al;Spc24
giladi_et_al;Snrnp27
giladi_et_al;SMC4
giladi_et_al;Smc2
giladi_et_al;Sephs1
giladi_et_al;Rrm2
giladi_et_al;Rad21
giladi_et_al;Racgap1
giladi_et_al;Ptma
giladi_et_al;Prc1
giladi_et_al;Pcna
giladi_et_al;Nusap1
giladi_et_al;Nucks1
giladi_et_al;Nde1
giladi_et_al;Ndc80
giladi_et_al;Ncapg2
giladi_et_al;Mki67
giladi_et_al;Mcm6
giladi_et_al;Mcm5
giladi_et_al;Lmnb1
giladi_et_al;Lig1
giladi_et_al;Lbr
giladi_et_al;Kif22
giladi_et_al;Kif11
giladi_et_al;Iqgap3
giladi_et_al;Incenp
giladi_et_al;hnRNP
giladi_et_al;Hn1
giladi_et_al;Hmmr
giladi_et_al;Hmgb2
giladi_et_al;Hist2h4
giladi_et_al;Hist2h2bb
giladi_et_al;Hist2h2ac
giladi_et_al;Hist1h4d
giladi_et_al;Hist1h4c
giladi_et_al;Hist1h3e
giladi_et_al;Hist1h3d
