Schwann cells;Ng2+ MSCs;Osteoblasts;Chondrocytes;Fibroblast/Chondrocyte progenitors;Sinusoidal endothelial cells;Arterial endothelial cells;Adipo-CAR;Osteo-CAR;Smooth muscle cells;Myofibroblasts;Stromal fibroblasts;Arteriolar fibroblasts;Endosteal fibroblasts;Erythroblasts;Erythroid progenitors;Neutrophil progenitors;Monocyte progenitors;Granulocyte/Monocyte progenitors;Eosinophil/Basophil progenitors;Lymphoid-primed multipotent progenitors;Erythroid/Megakaryocyte progenitors;Megakaryocyte progenitors;large pre-B cells;pro-B cells;Monocytes;Neutrophils;T cells;NK cells;Dendritic cells;small pre-B cells;B cells
Glul;Tpm1;Rrbp1;Sox9;Fxyd5;Mafb;Timp3;Sfrp4;Serpinh1;mt-Cytb;Btg1;Islr;Aspn;Anxa5;Snrpe;Npm3;F630028O10Rik;Alas1;Gng12;Cdk6;Zfp422;Cmtm7;Pabpc1;Ccnd3;Xrcc6;Ccl6;Ostf1;Coro1a;Gimap3;Sell;Serp1;Dusp2
Scd2;Ccdc80;Kdelr2;Fmod;Malat1;Fam167b;Cd9;Gja1;Laptm4a;Ptrf;Rps5;Id3;Mmp2;Emp3;Ccnb2;Slc25a5;Ly6c2;Psma7;Eif5a;Fcgr3;Rgs18;Ncl;Vamp5;Rasgrp2;Ypel3;Arhgdib;Slpi;Rpl17;Ptpn18;Fyb;Atp1b1;H3f3a
Dbndd2;Laptm4a;Selm;Phlda1;Anxa8;Flt1;Cdh5;Lepr;Clec11a;Ndufa4l2;Rpl10-ps3;Ifitm2;Il11ra1;Rnase4;Tipin;Rplp0;Sec61g;B4galnt1;Phgdh;Dapp1;Hnrnpa1;Pfn1;Cmas;H2afv;Lrmp;Ifi30;Coro1a;Rpl15;Txk;Cyba;Dok3;Slfn2
Syt11;Bmp1;Nupr1;Papss2;Timp2;Id1;Cst3;Kitl;Cst3;Mt1;Hspb1;Ubb;Fstl1;Col1a2;Alad;Wdr12;Anxa3;Ctsc;Cmtm7;Slc18a2;Cd27;Rpl39;Serbp1;Hnrnpa3;Slamf7;Actr3;Lrg1;Arhgdib;Klrb1c;Gltp;Pyhin1;Arpc5
Rtn4;Tmem176a;Pcolce;Id2;Htra1;Ubc;Hspb1;Igfbp7;Clmp;mt-Atp6;Sdc4;Col1a2;Lum;S100a13;Atp5g1;Creg1;Ssr4;Spcs2;Cst7;Man2b1;Sox4;Gata2;Rsu1;Pkig;Sepp1;Ly6c2;Cebpe;Rps23;Itgb2;Cd68;H3f3b;Serinc3
Sirt2;Metrnl;Cst3;Tubb2a;Col6a2;Arhgap31;Myl12a;Trf;Cdh11;Nrarp;Zbtb20;Ppp1r15a;Ccdc80;S100a11;Nxpe2;Set;Pdia6;F630028O10Rik;Etfb;Vamp8;Rps4x;Nkg7;Hnrnpk;Hnrnpa2b1;Cd37;Ifitm3;Chil1;Cd52;Arhgdib;Bcl11a;Tmsb4x;Unc93b1
Ywhaq;Gja1;Lum;Neat1;Fos;Sparc;Cd36;Wisp2;Bgn;Slc25a4;Malat1;Fosb;Pmp22;Metrnl;Mrpl18;Cox6b2;B4galnt1;Zfp706;Ranbp1;Ddx5;Rpl39;Hnrnpk;G3bp1;Zfp706;Smim14;Irf5;Gpsm3;Btg1;Ltb;Bloc1s2;Calm1;Ier5
Slc48a1;Fkbp10;P3h1;Laptm4a;Prg4;Cd81;Atox1;Serpinh1;Dapk2;Id3;Tuba1a;Serping1;Ctsb;Ptrf;Mns1;Acsl5;Cmtm7;Unc93b1;Tyrobp;Ctsg;Stmn1;Rps14;Skil;Hnrnpf;Rcsd1;Ly86;Lgals3;Rpl6;Gm9493;H2-Ab1;Bcl7a;Arpc5l
Aspa;Cpe;Bglap3;Ncmap;Tubb2a;Sgk1;Fbln5;C1ra;Mmp13;Cebpb;Rps14;Serpinf1;Col5a2;Tmem100;Rpl14;Car2;Ddost;Selplg;Idh2;Mpo;Rps9;Sdsl;Eif5a;Prdx1;Gm2000;Mpeg1;C5ar1;Rpl9-ps6;Cotl1;Spib;Stambpl1;Mzb1
Plekhb1;S100a16;Col13a1;Ccdc80;4930523C07Rik;Aplp2;Fkbp1a;1500009L16Rik;Arrdc4;Tinagl1;Rpl6;Itm2a;Dpt;Ppp1r14b;Rfesd;Atp5g1;Fam49b;Adssl1;Sub1;Arpc2;Hnrnpk;Jun;Rps18;Dntt;Cmtm7;Spi1;Ltb4r1;Lat;Pfdn5;Coro1a;Ucp2;Cd53
